Filename,Inference Time (ms),Temperature (°C),Used RAM (MB),CPU Usage (%)
frame0472.jpg,216,74.7,845.266,0
frame0301.jpg,214,74.7,845.672,0
frame0266.jpg,217,74.7,845.625,33.3
frame0004.jpg,216,74.7,846.25,50
frame0141.jpg,215,74.7,845.734,0
frame0324.jpg,214,74.7,846.156,33.3
frame0190.jpg,215,75.2,844.938,50
frame0625.jpg,215,74.7,845.594,0
frame0231.jpg,213,75.2,845.781,33.3
frame0525.jpg,212,75.2,846.672,0
frame0162.jpg,215,74.7,846.625,33.3
frame0539.jpg,216,75.7,846.594,50
frame0025.jpg,215,75.7,845.844,0
frame0167.jpg,215,76.3,846.719,50
frame0223.jpg,212,76.3,845.5,0
frame0058.jpg,217,75.7,845.688,0
frame0533.jpg,219,75.7,845.656,50
frame0073.jpg,217,75.2,845.828,0
frame0267.jpg,216,75.7,844.609,50
frame0096.jpg,215,74.7,846.203,50
frame0224.jpg,214,75.7,845.719,33.3
frame0121.jpg,215,74.7,846.594,0
frame0131.jpg,218,75.7,846.531,50
frame0029.jpg,215,76.3,845.547,33.3
frame0138.jpg,216,75.7,845.266,50
frame0059.jpg,216,74.7,845.938,33.3
frame0084.jpg,217,75.7,845.859,0
frame0416.jpg,215,75.2,845.109,33.3
frame0450.jpg,215,75.7,846,50
frame0144.jpg,215,76.3,846.422,0
frame0048.jpg,215,76.3,845.906,50
frame0363.jpg,216,75.7,846.094,33.3
frame0494.jpg,215,76.3,846.281,0
frame0229.jpg,216,75.7,846.234,33.3
frame0590.jpg,213,77.4,845.953,0
frame0387.jpg,217,76.3,844.984,33.3
frame0485.jpg,216,76.8,845.406,0
frame0332.jpg,216,75.7,845.359,0
frame0043.jpg,217,75.7,846.016,0
frame0119.jpg,216,75.7,845.25,0
frame0619.jpg,215,76.3,844.859,33.3
frame0629.jpg,215,76.3,844.812,33.3
frame0305.jpg,217,76.3,845.469,50
frame0469.jpg,223,77.4,845.312,50
frame0173.jpg,215,76.8,845.375,33.3
frame0206.jpg,215,75.2,845.094,0
frame0163.jpg,216,76.8,845.75,0
frame0467.jpg,217,76.3,846.172,33.3
frame0333.jpg,217,76.3,845.891,0
frame0308.jpg,216,77.4,847.484,50
frame0000.jpg,214,75.7,846.953,0
frame0486.jpg,216,75.7,846.906,0
frame0252.jpg,219,76.8,846.281,50
frame0628.jpg,216,75.7,846.5,50
frame0597.jpg,217,76.8,845.125,50
frame0196.jpg,216,76.3,846,0
frame0595.jpg,214,76.3,845.953,0
frame0320.jpg,215,76.3,845.906,0
frame0541.jpg,216,77.4,844.922,0
frame0056.jpg,215,76.3,845.109,33.3
frame0505.jpg,217,76.3,845.766,0
frame0181.jpg,219,75.7,845.484,50
frame0095.jpg,215,76.8,845.438,0
frame0057.jpg,216,76.8,845.359,0
frame0091.jpg,215,77.9,845.312,50
frame0015.jpg,224,76.8,846.188,50
frame0575.jpg,216,76.3,845.453,0
frame0395.jpg,215,76.8,845.422,50
frame0147.jpg,215,77.4,845.844,0
frame0248.jpg,214,77.4,845.109,0
frame0106.jpg,214,77.4,845.531,0
frame0366.jpg,218,76.8,846.422,0
frame0027.jpg,215,76.8,847.203,0
frame0510.jpg,217,76.8,846.812,0
frame0137.jpg,215,76.3,847,0
frame0329.jpg,215,77.4,845.781,0
frame0216.jpg,217,76.8,846.203,33.3
frame0620.jpg,216,76.8,845.688,33.3
frame0393.jpg,219,77.4,846.109,33.3
frame0303.jpg,216,76.3,847.125,0
frame0325.jpg,214,76.8,847.406,50
frame0522.jpg,216,77.4,846.141,0
frame0529.jpg,218,75.7,846.562,0
frame0353.jpg,219,75.7,844.641,33.3
frame0355.jpg,215,76.8,844.828,0
frame0033.jpg,218,76.8,845.734,0
frame0527.jpg,218,76.8,845.922,50
frame0617.jpg,217,76.8,845.422,0
frame0118.jpg,215,77.4,846.906,33.3
